symbol,date,score,rank,percentile,bucket,signal
EKGYO,2025-11-17,0.03210632015374921,1,1.0,0,HOLD
ENKAI,2025-11-17,0.027652648532033544,2,0.990990990990991,0,HOLD
HUNER,2025-11-17,0.02513943417222815,3,0.9819819819819819,0,HOLD
BAGFS,2025-11-17,0.022614355958984842,4,0.972972972972973,0,HOLD
BIOEN,2025-11-17,0.019760327231955914,5,0.963963963963964,0,HOLD
HLGYO,2025-11-17,0.017279557674791564,6,0.954954954954955,0,HOLD
SNGYO,2025-11-17,0.01652870033674127,7,0.9459459459459459,0,HOLD
EREGL,2025-11-17,0.014439886884766946,8,0.9369369369369369,0,HOLD
TTKOM,2025-11-17,0.013958998188752994,9,0.9279279279279279,0,HOLD
AKFGY,2025-11-17,0.013936489581817976,10,0.918918918918919,0,HOLD
HEKTS,2025-11-17,0.01387358554742346,11,0.9099099099099099,0,HOLD
TUKAS,2025-11-17,0.013544621481849307,12,0.9009009009009009,0,HOLD
TUREX,2025-11-17,0.012339545180232609,13,0.8918918918918919,0,HOLD
THYAO,2025-11-17,0.012296500167026726,14,0.8828828828828829,0,HOLD
KARTN,2025-11-17,0.01219974699988714,15,0.8738738738738738,0,HOLD
ASELS,2025-11-17,0.011770958544084819,16,0.8648648648648649,0,HOLD
OZKGY,2025-11-17,0.010892326631983798,17,0.8558558558558559,0,HOLD
KCHOL,2025-11-17,0.010642068634692779,18,0.8468468468468469,0,HOLD
TCELL,2025-11-17,0.010296523830931884,19,0.8378378378378378,0,HOLD
TRGYO,2025-11-17,0.01011163842994804,20,0.8288288288288288,0,HOLD
CEMTS,2025-11-17,0.009819253247684477,21,0.8198198198198198,0,HOLD
BUCIM,2025-11-17,0.009370415674763764,22,0.8108108108108109,0,HOLD
CANTE,2025-11-17,0.009355981360817653,23,0.8018018018018018,0,HOLD
KRDMB,2025-11-17,0.00925372149759341,24,0.7927927927927928,0,HOLD
ODAS,2025-11-17,0.00857053499139258,25,0.7837837837837838,0,HOLD
GSDDE,2025-11-17,0.00842683900986366,26,0.7747747747747747,0,HOLD
LOGO,2025-11-17,0.00828797434570442,27,0.7657657657657657,0,HOLD
GSDHO,2025-11-17,0.008143350430543005,28,0.7567567567567568,0,HOLD
IPEKE,2025-11-17,0.008113296058900392,29,0.7477477477477478,0,HOLD
TATGD,2025-11-17,0.007923340025644836,30,0.7387387387387387,0,HOLD
PETUN,2025-11-17,0.007516825083857811,31,0.7297297297297297,0,HOLD
PGSUS,2025-11-17,0.007490937653066274,32,0.7207207207207207,0,HOLD
ZOREN,2025-11-17,0.00745572591739204,33,0.7117117117117117,0,HOLD
GOODY,2025-11-17,0.007274737225175458,34,0.7027027027027027,0,HOLD
TEZOL,2025-11-17,0.007196425638823703,35,0.6936936936936937,0,HOLD
ISGYO,2025-11-17,0.007161488816657576,36,0.6846846846846847,0,HOLD
TKFEN,2025-11-17,0.00711342516138588,37,0.6756756756756757,0,HOLD
TOASO,2025-11-17,0.00699761970910904,38,0.6666666666666666,0,HOLD
SAHOL,2025-11-17,0.006907967046606783,39,0.6576576576576577,0,HOLD
KOZAL,2025-11-17,0.0068826389173494,40,0.6486486486486487,0,HOLD
ULKER,2025-11-17,0.006872764161569553,41,0.6396396396396397,0,HOLD
FROTO,2025-11-17,0.006837054614459917,42,0.6306306306306306,0,HOLD
QUAGR,2025-11-17,0.006682172262248279,43,0.6216216216216216,0,HOLD
BIZIM,2025-11-17,0.006676976510328739,44,0.6126126126126126,0,HOLD
JANTS,2025-11-17,0.0066217884268574695,45,0.6036036036036037,0,HOLD
KFEIN,2025-11-17,0.006618942264021168,46,0.5945945945945946,0,HOLD
NTHOL,2025-11-17,0.00635451275959294,47,0.5855855855855856,0,HOLD
KRDMA,2025-11-17,0.006341657640016326,48,0.5765765765765766,0,HOLD
TUPRS,2025-11-17,0.006337660246499179,49,0.5675675675675675,0,HOLD
DOHOL,2025-11-17,0.006123803773362814,50,0.5585585585585585,0,HOLD
BMSCH,2025-11-17,0.005775379226491662,51,0.5495495495495496,0,HOLD
KIMMR,2025-11-17,0.005715078564969341,52,0.5405405405405406,0,HOLD
ALARK,2025-11-17,0.005697238943921937,53,0.5315315315315315,0,HOLD
KRDMD,2025-11-17,0.00569022675608277,54,0.5225225225225225,0,HOLD
KMPUR,2025-11-17,0.005688198707979836,55,0.5135135135135135,0,HOLD
ISDMR,2025-11-17,0.005633637534108975,56,0.5045045045045045,0,HOLD
OTKAR,2025-11-17,0.005588593904915103,57,0.4954954954954955,0,HOLD
KOZAA,2025-11-17,0.005421066041787456,58,0.4864864864864865,0,HOLD
KORDS,2025-11-17,0.005397865091857433,59,0.4774774774774775,0,HOLD
AKENR,2025-11-17,0.0053060848761565214,60,0.46846846846846846,0,HOLD
SISE,2025-11-17,0.005299676224332933,61,0.4594594594594595,0,HOLD
GWIND,2025-11-17,0.0050240047103746605,62,0.45045045045045046,0,HOLD
PARSN,2025-11-17,0.00495038039833798,63,0.44144144144144143,0,HOLD
OYAKC,2025-11-17,0.00487634846293605,64,0.43243243243243246,0,HOLD
INDES,2025-11-17,0.004859078396043951,65,0.42342342342342343,0,HOLD
BERA,2025-11-17,0.004658309970100905,66,0.4144144144144144,0,HOLD
AEFES,2025-11-17,0.004586647151645494,67,0.40540540540540543,0,HOLD
ALKA,2025-11-17,0.004462596348995633,68,0.3963963963963964,0,HOLD
VESBE,2025-11-17,0.0043845510028949495,69,0.38738738738738737,0,HOLD
ORGE,2025-11-17,0.004237729428833923,70,0.3783783783783784,0,HOLD
DOAS,2025-11-17,0.004133561939106716,71,0.36936936936936937,0,HOLD
KARSN,2025-11-17,0.004030542100483507,72,0.36036036036036034,0,HOLD
PETKM,2025-11-17,0.003964103430403412,73,0.35135135135135137,0,HOLD
KUTPO,2025-11-17,0.003935106334844051,74,0.34234234234234234,0,HOLD
ARDYZ,2025-11-17,0.003916431842562244,75,0.3333333333333333,0,HOLD
TAVHL,2025-11-17,0.003848814261477051,76,0.32432432432432434,0,HOLD
TLMAN,2025-11-17,0.0037313318027255085,77,0.3153153153153153,0,HOLD
SASA,2025-11-17,0.0037148080566928427,78,0.3063063063063063,0,HOLD
